python3 heartbeat.py
/usr/lib/python3/dist-packages/paramiko/pkey.py:59: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "cipher": algorithms.TripleDES,
/usr/lib/python3/dist-packages/paramiko/transport.py:220: CryptographyDeprecationWarning: Blowfish has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.Blowfish and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 45.0.0.
  "class": algorithms.Blowfish,
/usr/lib/python3/dist-packages/paramiko/transport.py:244: CryptographyDeprecationWarning: TripleDES has been moved to cryptography.hazmat.decrepit.ciphers.algorithms.TripleDES and will be removed from cryptography.hazmat.primitives.ciphers.algorithms in 48.0.0.
  "class": algorithms.TripleDES,
| INFO     | heartbeat.v inferred as rtl/verilog
| INFO     | heartbeat.sdc inferred as constraint/sdc
| INFO     | Setting up node import.bluespec0 with bluespec/convert
| WARNING  | Removing import.bluespec0 due to no files in [input,hll,bsv]
| INFO     | Setting up node import.c0 with bambu/convert
| WARNING  | Removing import.c0 due to no files in [input,hll,c] or [input,hll,llvm]
| INFO     | Setting up node import.chisel0 with chisel/convert
| WARNING  | Removing import.chisel0 due to no files in [input,hll,scala] or [input,config,chisel]
| INFO     | Setting up node import.verilog0 with slang/elaborate
| INFO     | Setting up node import.vhdl0 with ghdl/convert
| WARNING  | Removing import.vhdl0 due to no files in [input,rtl,vhdl]
| INFO     | Setting up node import.convert0 with sv2v/convert
| WARNING  | Removing import.convert0 due to will not receive systemverilog to convert
| INFO     | Setting up node import.combine0 with builtin/concatenate
| WARNING  | Removing import.combine0 due to no need to concatenate file
| INFO     | Setting up node syn0 with yosys/syn_asic
| INFO     | Setting up node floorplan.init0 with openroad/init_floorplan
| INFO     | Setting up node floorplan.macro_placement0 with openroad/macro_placement
| INFO     | Setting up node floorplan.tapcell0 with openroad/endcap_tapcell_insertion
| INFO     | Setting up node floorplan.power_grid0 with openroad/power_grid
| INFO     | Setting up node floorplan.pin_placement0 with openroad/pin_placement
| INFO     | Setting up node place.global0 with openroad/global_placement
| INFO     | Setting up node place.repair_design0 with openroad/repair_design
| INFO     | Setting up node place.detailed0 with openroad/detailed_placement
| INFO     | Setting up node cts.clock_tree_synthesis0 with openroad/clock_tree_synthesis
| INFO     | Setting up node cts.repair_timing0 with openroad/repair_timing
| INFO     | Setting up node cts.fillcell0 with openroad/fillercell_insertion
| INFO     | Setting up node route.global0 with openroad/global_route
| INFO     | Setting up node route.antenna_repair0 with openroad/antenna_repair
| INFO     | Setting up node route.detailed0 with openroad/detailed_route
| INFO     | Setting up node dfm.metal_fill0 with openroad/fillmetal_insertion
| WARNING  | Removing dfm.metal_fill0 due to no fill script is available
| INFO     | Setting up node write.gds0 with klayout/export
| INFO     | Setting up node write.views0 with openroad/write_data
| INFO     | Checking manifest before running.
| INFO     | job0 | import.verilog       | 0 | Running in /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/import.verilog/0
| INFO     | job0 | import.verilog       | 0 | runtime arguments: --single-unit --threads 8 /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/heartbeat.v --top heartbeat --allow-use-before-declare --ignore-unknown-modules -Weverything
| INFO     | job0 | import.verilog       | 0 | Number of errors: 0
| INFO     | job0 | import.verilog       | 0 | Number of warnings: 0
| INFO     | job0 | import.verilog       | 0 | Finished task in 0.34s
| INFO     | job0 | syn                  | 0 | Running in /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/syn/0
| INFO     | job0 | syn                  | 0 | Opening file for replace: /home/thierry/.sc/cache/lambdapdk-v0.1.50/lambdapdk/freepdk45/libs/nangate45/nldm/NangateOpenCellLibrary_typical.lib
| INFO     | job0 | syn                  | 0 | Commented 0 lines containing "original_pin"
| INFO     | job0 | syn                  | 0 | Replaced malformed functions 0
| INFO     | job0 | syn                  | 0 | Replaced capacitive load 0
| INFO     | job0 | syn                  | 0 | Tool 'yosys' found with version '0.54+17' in directory '/home/thierry/.local/bin'
| INFO     | job0 | syn                  | 0 | yosys -c /home/thierry/.local/lib/python3.8/site-packages/siliconcompiler/tools/yosys/sc_synth_asic.tcl
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 |  /----------------------------------------------------------------------------\
| INFO     | job0 | syn                  | 0 |  |  yosys -- Yosys Open SYnthesis Suite                                       |
| INFO     | job0 | syn                  | 0 |  |  Copyright (C) 2012 - 2025  Claire Xenia Wolf <claire@yosyshq.com>         |
| INFO     | job0 | syn                  | 0 |  |  Distributed under an ISC-like license, type "license" to see terms        |
| INFO     | job0 | syn                  | 0 |  \----------------------------------------------------------------------------/
| INFO     | job0 | syn                  | 0 |  Yosys 0.54+17 (git sha1 d5a168439, g++ 13.1.0-8ubuntu1~20.04.2 -fPIC -O3)
| INFO     | job0 | syn                  | 0 | echo on
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> read_liberty -overwrite -setattr liberty_cell -lib /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/syn/0/inputs/sc_logic_nangate45_NangateOpenCellLibrary_typical.lib
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 1. Executing Liberty frontend: /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/syn/0/inputs/sc_logic_nangate45_NangateOpenCellLibrary_typical.lib
| INFO     | job0 | syn                  | 0 | Imported 134 cell types from liberty file.
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | yosys> read_liberty -overwrite -setattr liberty_cell -unit_delay -wb -ignore_miss_func -ignore_buses /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/syn/0/inputs/sc_logic_nangate45_NangateOpenCellLibrary_typical.lib
| INFO     | job0 | syn                  | 0 | 
| INFO     | job0 | syn                  | 0 | 2. Executing Liberty frontend: /home/thierry/SILICON_COMPILER/siliconcompiler/examples/heartbeat/build/heartbeat/job0/syn/0/inputs/sc_logic_nangate45_NangateOpenCellLibrary_typical.lib
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND2_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND2_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND3_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND3_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND3_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND4_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND4_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AND4_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module ANTENNA_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI21_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI21_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI21_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI22_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI22_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI22_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI211_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI211_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI211_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI221_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI221_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI221_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI222_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI222_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module AOI222_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module BUF_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module BUF_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module BUF_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module BUF_X8.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module BUF_X16.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module BUF_X32.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module CLKBUF_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module CLKBUF_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module CLKBUF_X3.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATETST_X1 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATETST_X2 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATETST_X4 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATETST_X8 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATE_X1 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATE_X2 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATE_X4 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Ignoring cell CLKGATE_X8 with missing function on output IQ.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFFRS_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFFRS_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFFR_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFFR_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFFS_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFFS_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFF_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DFF_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DLH_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DLH_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DLL_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module DLL_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FA_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FILLCELL_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FILLCELL_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FILLCELL_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FILLCELL_X8.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FILLCELL_X16.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module FILLCELL_X32.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module HA_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module INV_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module INV_X2.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module INV_X4.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module INV_X8.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module INV_X16.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module INV_X32.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module LOGIC0_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module LOGIC1_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module MUX2_X1.
| INFO     | job0 | syn                  | 0 | Replacing existing blackbox module MUX2_X2.
